month_date,dpd_bucket,grade,balance,count,gco_amount,recovery_amount,nco_amount,loss_rate,total_ecl_simple,total_ecl_dcf,alll_ratio_simple,alll_ratio_dcf
2014-11-01,Current,E,382665477.491444,25434,1588039.0758355309,240885.08,1347153.9958355308,0.003375771683702977,3797321.133233734,-2352977.9228397673,0.009515533632475936,-0.0058962199339165095
2014-11-01,Current,F,139960260.8158491,9036,1235522.4021892447,113151.75,1122370.6521892447,0.007481729226670929,1656330.0244232304,-655104.4951125967,0.011041105474887618,-0.004366930334508603
2014-11-01,Current,G,39910769.31607837,2154,268804.85344270203,20292.55,248512.30344270205,0.005898031693305798,529620.1444693425,-233273.90977484043,0.012569664979237512,-0.005536373427042773
2014-11-01,30+,A,587533.1568971054,81,280949.2712305392,207444.1,73505.17123053918,0.00012566511778466338,655551.8651790189,-2360489.4782338655,0.0011207375069340803,-0.004035514554226029
2014-11-01,30+,B,2909123.042566936,360,1166549.0304753406,703629.9,462919.1304753405,0.00045094776138800613,2605394.2435068726,-3740907.1084857965,0.0025380171703774687,-0.0036441649849292893
2014-11-01,30+,C,4634710.002328239,472,2529640.6448016614,586619.07,1943021.5748016615,0.0017316283889061484,5234039.486124542,-5464368.851571503,0.004664596358768777,-0.004869866785602514
2014-11-01,30+,D,4763032.301434699,430,1972894.622318535,470426.58,1502468.042318535,0.0020528692260229414,5180143.778853664,-3914309.4701882564,0.00707779297160475,-0.005348243840234727
2014-11-01,30+,E,3815675.5663575255,259,1588039.0758355309,240885.08,1347153.9958355308,0.003375771683702977,3797321.133233734,-2352977.9228397673,0.009515533632475936,-0.0058962199339165095
2014-11-01,30+,F,2010226.5903255227,118,1235522.4021892447,113151.75,1122370.6521892447,0.007481729226670929,1656330.0244232304,-655104.4951125967,0.011041105474887618,-0.004366930334508603
2014-11-01,30+,G,592620.0956646649,30,268804.85344270203,20292.55,248512.30344270205,0.005898031693305798,529620.1444693425,-233273.90977484043,0.012569664979237512,-0.005536373427042773
2014-11-01,60+,A,454241.3150588045,61,280949.2712305392,207444.1,73505.17123053918,0.00012566511778466338,655551.8651790189,-2360489.4782338655,0.0011207375069340803,-0.004035514554226029
2014-11-01,60+,B,2511470.2564461003,335,1166549.0304753406,703629.9,462919.1304753405,0.00045094776138800613,2605394.2435068726,-3740907.1084857965,0.0025380171703774687,-0.0036441649849292893
2014-11-01,60+,C,4277748.433715387,418,2529640.6448016614,586619.07,1943021.5748016615,0.0017316283889061484,5234039.486124542,-5464368.851571503,0.004664596358768777,-0.004869866785602514
2014-11-01,60+,D,3764988.5405118978,356,1972894.622318535,470426.58,1502468.042318535,0.0020528692260229414,5180143.778853664,-3914309.4701882564,0.00707779297160475,-0.005348243840234727
2014-11-01,60+,E,3486271.578499754,230,1588039.0758355309,240885.08,1347153.9958355308,0.003375771683702977,3797321.133233734,-2352977.9228397673,0.009515533632475936,-0.0058962199339165095
2014-11-01,60+,F,1749833.4849236365,121,1235522.4021892447,113151.75,1122370.6521892447,0.007481729226670929,1656330.0244232304,-655104.4951125967,0.011041105474887618,-0.004366930334508603
2014-11-01,60+,G,465137.2988245799,29,268804.85344270203,20292.55,248512.30344270205,0.005898031693305798,529620.1444693425,-233273.90977484043,0.012569664979237512,-0.005536373427042773
2014-11-01,90+,A,459511.30378325674,56,280949.2712305392,207444.1,73505.17123053918,0.00012566511778466338,655551.8651790189,-2360489.4782338655,0.0011207375069340803,-0.004035514554226029
2014-11-01,90+,B,2241682.8775260225,306,1166549.0304753406,703629.9,462919.1304753405,0.00045094776138800613,2605394.2435068726,-3740907.1084857965,0.0025380171703774687,-0.0036441649849292893
2014-11-01,90+,C,3753551.0464024018,414,2529640.6448016614,586619.07,1943021.5748016615,0.0017316283889061484,5234039.486124542,-5464368.851571503,0.004664596358768777,-0.004869866785602514
2014-11-01,90+,D,3413044.957914844,346,1972894.622318535,470426.58,1502468.042318535,0.0020528692260229414,5180143.778853664,-3914309.4701882564,0.00707779297160475,-0.005348243840234727
2014-11-01,90+,E,2887492.9647482536,191,1588039.0758355309,240885.08,1347153.9958355308,0.003375771683702977,3797321.133233734,-2352977.9228397673,0.009515533632475936,-0.0058962199339165095
2014-11-01,90+,F,1987323.4049084126,121,1235522.4021892447,113151.75,1122370.6521892447,0.007481729226670929,1656330.0244232304,-655104.4951125967,0.011041105474887618,-0.004366930334508603
2014-11-01,90+,G,360624.49894120335,19,268804.85344270203,20292.55,248512.30344270205,0.005898031693305798,529620.1444693425,-233273.90977484043,0.012569664979237512,-0.005536373427042773
2014-11-01,120+,A,384678.5689741898,75,280949.2712305392,207444.1,73505.17123053918,0.00012566511778466338,655551.8651790189,-2360489.4782338655,0.0011207375069340803,-0.004035514554226029
2014-11-01,120+,B,2160850.2857706994,297,1166549.0304753406,703629.9,462919.1304753405,0.00045094776138800613,2605394.2435068726,-3740907.1084857965,0.0025380171703774687,-0.0036441649849292893
2014-11-01,120+,C,3870457.6515475195,394,2529640.6448016614,586619.07,1943021.5748016615,0.0017316283889061484,5234039.486124542,-5464368.851571503,0.004664596358768777,-0.004869866785602514
2014-11-01,120+,D,3256025.389557149,338,1972894.622318535,470426.58,1502468.042318535,0.0020528692260229414,5180143.778853664,-3914309.4701882564,0.00707779297160475,-0.005348243840234727
2014-11-01,120+,E,2162054.424627947,162,1588039.0758355309,240885.08,1347153.9958355308,0.003375771683702977,3797321.133233734,-2352977.9228397673,0.009515533632475936,-0.0058962199339165095
2014-11-01,120+,F,1394054.7977779123,91,1235522.4021892447,113151.75,1122370.6521892447,0.007481729226670929,1656330.0244232304,-655104.4951125967,0.011041105474887618,-0.004366930334508603
2014-11-01,120+,G,327948.25717133447,18,268804.85344270203,20292.55,248512.30344270205,0.005898031693305798,529620.1444693425,-233273.90977484043,0.012569664979237512,-0.005536373427042773
2014-11-01,150+,A,425003.20142325683,72,280949.2712305392,207444.1,73505.17123053918,0.00012566511778466338,655551.8651790189,-2360489.4782338655,0.0011207375069340803,-0.004035514554226029
2014-11-01,150+,B,1987113.422019886,284,1166549.0304753406,703629.9,462919.1304753405,0.00045094776138800613,2605394.2435068726,-3740907.1084857965,0.0025380171703774687,-0.0036441649849292893
2014-11-01,150+,C,2750735.313807286,301,2529640.6448016614,586619.07,1943021.5748016615,0.0017316283889061484,5234039.486124542,-5464368.851571503,0.004664596358768777,-0.004869866785602514
2014-11-01,150+,D,3059707.6979412343,288,1972894.622318535,470426.58,1502468.042318535,0.0020528692260229414,5180143.778853664,-3914309.4701882564,0.00707779297160475,-0.005348243840234727
2014-11-01,150+,E,2073081.4460557625,158,1588039.0758355309,240885.08,1347153.9958355308,0.003375771683702977,3797321.133233734,-2352977.9228397673,0.009515533632475936,-0.0058962199339165095
2014-11-01,150+,F,1613159.8743690024,105,1235522.4021892447,113151.75,1122370.6521892447,0.007481729226670929,1656330.0244232304,-655104.4951125967,0.011041105474887618,-0.004366930334508603
2014-11-01,150+,G,218187.8615216445,12,268804.85344270203,20292.55,248512.30344270205,0.005898031693305798,529620.1444693425,-233273.90977484043,0.012569664979237512,-0.005536373427042773
2014-11-01,180+,A,271770.8936771787,46,280949.2712305392,207444.1,73505.17123053918,0.00012566511778466338,655551.8651790189,-2360489.4782338655,0.0011207375069340803,-0.004035514554226029
