month_date,grade,total_ecl_dcf,total_balance,ecl_rate_dcf
2020-02-01,A,5914325.719907348,587596.5976675824,10.065282446126798
2020-02-01,B,13920785.068394754,1731540.7681436562,8.039536420109183
2020-02-01,C,21044059.57926487,2502625.4202313772,8.408793185405775
2020-02-01,D,11947872.569608262,2102321.5169337424,5.683180461870721
2020-02-01,E,7619629.14068416,1682926.012020927,4.52760791993119
2020-02-01,F,3093148.0219052485,761963.59250503,4.059443328172966
2020-02-01,G,1109369.1361339246,574160.7421706482,1.9321577646355441
2020-03-01,A,5672715.187811968,547540.6139048665,10.360355092850856
2020-03-01,B,13280147.371163862,1641745.023537781,8.089043780103317
2020-03-01,C,20317424.19037426,2373409.0241728476,8.560439428452517
2020-03-01,D,11471112.588211922,1993828.6570107124,5.753309116045216
2020-03-01,E,7341511.541388015,1608253.561444591,4.56489680320907
2020-03-01,F,2987611.149937175,718544.5204925064,4.157865051826434
2020-03-01,G,1077106.801582649,545770.9419067447,1.9735510245737724
2020-04-01,A,5522453.439931915,508811.1495605954,10.853640775562907
2020-04-01,B,12708684.399227511,1555116.2011478858,8.17217670926892
2020-04-01,C,19608845.522215463,2247881.4776920956,8.723255970927749
2020-04-01,D,11025128.767917207,1888706.8243483724,5.837395526815558
2020-04-01,E,6988921.667964725,1533573.4777880136,4.557278649631685
2020-04-01,F,2859850.162936164,677483.6198296046,4.221283111841806
2020-04-01,G,1037297.1081536612,518391.9633555116,2.000989948685385
2020-05-01,A,5259476.375994186,470965.92865193315,11.167424342241954
2020-05-01,B,12047163.471764771,1469415.129492648,8.19861129095925
2020-05-01,C,18774663.930108808,2123452.8498237706,8.84157325728563
2020-05-01,D,10559736.921473384,1785588.9650614685,5.913867708691774
2020-05-01,E,6643588.819451467,1460757.6171704768,4.54804324917385
2020-05-01,F,2721634.4188478757,637857.021702722,4.266840884784229
2020-05-01,G,993232.7831001908,491228.7688086959,2.0219352899646545
2020-06-01,A,4967986.364126026,434194.053174645,11.441857224441907
2020-06-01,B,11404656.29131731,1384361.3919787488,8.238207419968544
2020-06-01,C,18020991.15417179,2000579.7973124383,9.007884203559906
2020-06-01,D,10161725.85026946,1682263.6934738057,6.040507139095364
2020-06-01,E,6306276.083350448,1389319.6548953892,4.539110967824959
2020-06-01,F,2586657.263074821,599777.6829158126,4.3126934141660875
2020-06-01,G,948947.2393238596,464235.7493572492,2.0441063417406147
2020-07-01,A,4686576.170557759,399073.8192129617,11.743632242777657
2020-07-01,B,10672021.96669213,1301863.7831175437,8.197495087493778
2020-07-01,C,17033237.645505704,1881857.4999635667,9.051289827117873
2020-07-01,D,9608157.675504375,1584661.551655811,6.063223825595328
2020-07-01,E,5834184.42016577,1316938.8474649934,4.4301103512863405
2020-07-01,F,2411856.388497001,563416.8752834656,4.280767038231772
2020-07-01,G,894248.8635621459,438544.41884243925,2.039129504652145
2020-08-01,A,4369279.009797849,363963.35193413176,12.004722416636548
2020-08-01,B,9960569.75742236,1221216.0239675979,8.156271750399698
2020-08-01,C,16073454.030777339,1772348.5174775918,9.069014289386546
2020-08-01,D,9082055.323981712,1491221.4125559616,6.0903466430347315
2020-08-01,E,5420184.965193573,1244889.1215319019,4.353949979516046
2020-08-01,F,2267730.8138638083,529683.0854918673,4.281297394569393
2020-08-01,G,848230.5084916967,417584.6715101213,2.031277885330945
2020-09-01,A,4121804.808522319,330188.18420816475,12.483198992740931
2020-09-01,B,9349631.446346654,1142472.5392421237,8.18368155487472
2020-09-01,C,15324977.903838221,1671237.1473274312,9.169840395389278
2020-09-01,D,8619436.802427707,1400698.4031488725,6.153670756710069
2020-09-01,E,5063481.165905071,1175774.330150756,4.306507665680913
2020-09-01,F,2142092.659717196,500220.1412469059,4.282299897756158
2020-09-01,G,798572.1342301862,397819.9140025674,2.0073709387635947
2020-10-01,A,3785548.4313317654,297296.0037167138,12.7332637640798
