month_date,grade,total_ecl_simple,total_balance,loan_count,ecl_rate_simple
2017-09-01,A,794375.4934838089,708876412.8664936,101603,0.0011206121110329819
2017-09-01,B,4097891.489998284,1253319255.4908876,165792,0.0032696309994800664
2017-09-01,C,9792776.629161907,1531064554.853911,169079,0.006396057304126083
2017-09-01,D,7703506.873660446,791611713.7648965,77775,0.009731421023348244
2017-09-01,E,5714206.690639272,428614762.0285454,35378,0.013331800947767428
2017-09-01,F,2703254.1514273407,159657290.1897872,11357,0.016931604865734216
2017-09-01,G,1167114.8632159848,62635226.61241593,3781,0.01863352184287671
2017-10-01,A,758693.3789141789,675200160.7883307,99395,0.0011236569879195019
2017-10-01,B,3944540.289028529,1200205053.0624454,162141,0.0032865553089979358
2017-10-01,C,9428032.04782229,1464989561.506805,164878,0.006435562611193729
2017-10-01,D,7469606.78159005,762995718.3374237,76026,0.009789841020165104
2017-10-01,E,5471859.529744412,408872363.8511091,34243,0.013382806013607196
2017-10-01,F,2615496.9589556,153920662.09077242,11002,0.016992500704116967
2017-10-01,G,1160974.570596574,62602993.06981143,3756,0.018545032971537298
2017-11-01,A,726798.7791639642,645195663.1969489,96023,0.0011264780912547852
2017-11-01,B,3786189.6316991006,1144326379.093604,156559,0.003308662371917056
2017-11-01,C,9017459.63264689,1393370991.7478898,158644,0.006471686066418748
2017-11-01,D,7185862.266339598,729960332.6776456,73273,0.00984418186119836
2017-11-01,E,5166236.877023148,385086170.9250864,32687,0.01341579435224168
2017-11-01,F,2470942.0177274426,144950408.24651062,10421,0.01704680964765013
2017-11-01,G,1103161.011265039,59432812.89654729,3593,0.018561480729261032
2017-12-01,A,688760.1204156881,610071101.5529591,92429,0.0011289833572880655
2017-12-01,B,3618691.621046457,1084986346.7843368,150596,0.0033352416201102167
2017-12-01,C,8627211.433568364,1323326301.026042,152363,0.006519337994627062
2017-12-01,D,6930781.369516876,698881463.8521072,70679,0.009916962643873359
2017-12-01,E,4893794.136923242,362533522.86316866,31190,0.013498873423549058
2017-12-01,F,2325318.229593971,135904874.03451842,9887,0.01710989577168045
2017-12-01,G,1046977.3512690702,56234180.328448355,3439,0.01861816683650342
2018-01-01,A,653951.2706366914,578611753.8231926,89697,0.0011302073736243533
2018-01-01,B,3433950.5430432213,1021684061.5138873,145279,0.0033610689178755924
2018-01-01,C,8203916.8160060765,1250815505.952786,146755,0.006558854424943263
2018-01-01,D,6633180.497756212,664297475.469817,68146,0.009985256218330452
2018-01-01,E,4605709.174885495,339925939.62685204,29666,0.013549154795133711
2018-01-01,F,2174440.3542152727,126634692.59876977,9353,0.01717096878897779
2018-01-01,G,975353.9977306115,52271019.495130435,3238,0.018659555661076698
2018-02-01,A,607676.6876364037,536920760.6565474,84904,0.0011317809482601043
2018-02-01,B,3212999.647850699,948512672.8932649,137612,0.0033874082441619144
2018-02-01,C,7697368.876652122,1165757430.6528344,138921,0.006602890682276439
2018-02-01,D,6248994.68106932,621919765.8054068,64642,0.010047911361969118
