month_date,ftr,grade
2019-03-01,0.01665250425568644,C
2019-04-01,0.026627335434740933,C
2019-05-01,,C
2019-06-01,,C
2019-07-01,,C
2019-08-01,,C
2019-09-01,,C
2019-10-01,,C
2019-11-01,,C
2019-12-01,,C
2020-01-01,,C
2020-02-01,,C
2020-03-01,,C
2020-04-01,,C
2020-05-01,,C
2020-06-01,,C
2020-07-01,,C
2020-08-01,,C
2020-09-01,,C
2020-10-01,,C
2020-11-01,,C
2020-12-01,,C
2021-01-01,,C
2021-02-01,,C
2021-03-01,,C
2021-04-01,,C
2021-05-01,,C
2021-06-01,,C
2021-07-01,,C
2021-08-01,,C
2021-09-01,,C
2021-10-01,,C
2021-11-01,,C
2021-12-01,,C
2022-01-01,,C
2022-02-01,,C
2022-03-01,,C
2022-04-01,,C
2022-05-01,,C
2022-06-01,,C
2022-07-01,,C
2022-08-01,,C
2022-09-01,,C
2022-10-01,,C
2022-11-01,,C
2022-12-01,,C
2023-01-01,,C
2023-02-01,,C
2023-03-01,,C
2023-04-01,,C
2023-05-01,,C
2023-06-01,,C
2023-07-01,,C
2023-08-01,,C
2023-09-01,,C
2023-10-01,,C
2007-09-01,,D
2007-10-01,,D
2007-11-01,,D
2007-12-01,,D
2008-01-01,,D
2008-02-01,,D
2008-03-01,,D
2008-04-01,,D
2008-05-01,,D
2008-06-01,0.008502642069454334,D
2008-07-01,0.015093617492415638,D
2008-08-01,0.01849908549796737,D
2008-09-01,0.0034177533083555645,D
2008-10-01,0.012095561716313,D
2008-11-01,0.03569058002047736,D
2008-12-01,,D
2009-01-01,0.00958397134224649,D
2009-02-01,0.0037765816884667296,D
2009-03-01,0.005973768876659467,D
2009-04-01,0.007306865637038034,D
2009-05-01,0.001743462229358015,D
2009-06-01,0.008033450007174373,D
2009-07-01,0.0016943575638419615,D
2009-08-01,0.007164855863038841,D
2009-09-01,0.003194882290721408,D
2009-10-01,0.005900558188884552,D
2009-11-01,0.003449259310132356,D
2009-12-01,0.0014448315134747431,D
2010-01-01,0.008927106544108054,D
2010-02-01,0.005259019001715512,D
2010-03-01,0.0006208221017878582,D
2010-04-01,0.001691916391904275,D
2010-05-01,0.00780165385968625,D
2010-06-01,0.0035943036302460455,D
2010-07-01,0.004393490265749333,D
2010-08-01,0.003542090057377243,D
2010-09-01,0.001322660024156201,D
2010-10-01,0.007661938045061083,D
2010-11-01,0.003463823268288967,D
2010-12-01,0.0018276166045325698,D
2011-01-01,0.004377700865759307,D
2011-02-01,0.004341807496754592,D
2011-03-01,0.0034811195832385525,D
2011-04-01,0.003210500687777091,D
2011-05-01,0.0034128306744847458,D
2011-06-01,0.0031251279347496207,D
2011-07-01,0.0023281705966952918,D
2011-08-01,0.005756507556178143,D
2011-09-01,0.003858028592137526,D
2011-10-01,0.004381836657958972,D
2011-11-01,0.0053317862193982095,D
2011-12-01,0.0019773879404039523,D
2012-01-01,0.0038711052160296756,D
2012-02-01,0.004435886419605278,D
2012-03-01,0.005676136691745289,D
2012-04-01,0.0053584412360111406,D
2012-05-01,0.002529840420827716,D
2012-06-01,0.004358598590641797,D
2012-07-01,0.005320984587012079,D
2012-08-01,0.004075875035089269,D
2012-09-01,0.004746477813348098,D
2012-10-01,0.005158276121197803,D
2012-11-01,0.00641470167724371,D
2012-12-01,0.005397750314351691,D
2013-01-01,0.004734735765808386,D
2013-02-01,0.004263594821863767,D
2013-03-01,0.006208223576967047,D
2013-04-01,0.0036678319921659252,D
2013-05-01,0.004862682191905417,D
2013-06-01,0.004490311632543242,D
2013-07-01,0.004713811539548518,D
2013-08-01,0.004935991037275557,D
2013-09-01,0.005449717068540897,D
2013-10-01,0.0067700996367403895,D
2013-11-01,0.00540763034966712,D
2013-12-01,0.004289997594378656,D
2014-01-01,0.004005160294010278,D
