month_date,total_ecl,nco_amount,provision,alll_reserve,nco_coverage_ratio
2017-04-01,-23566987.656928416,40334629.09339365,47005936.61527565,-23566987.656928416,-0.06443778962627895
2017-05-01,-18991118.61063855,40081796.19143527,44657665.23772514,-18991118.61063855,-0.04999249654150806
2017-06-01,-13779028.854836546,32098007.244179215,37310096.999981225,-13779028.854836546,-0.03496456390357951
2017-07-01,-9408465.725741562,30520221.26197505,34890784.39107004,-9408465.725741562,-0.023354465628149457
2017-08-01,-4455794.164544795,31671329.057576414,36624000.61877318,-4455794.164544795,-0.010728894727043909
2017-09-01,817554.5815088137,20136098.063324198,25409446.809377804,817554.5815088137,0.0019775856591707362
2017-10-01,5498008.884367691,35694263.67627276,40374717.97913164,5498008.884367691,0.01315953101822076
2017-11-01,10635419.055900201,23710796.145156175,28848206.316688687,10635419.055900201,0.025605101185264868
2017-12-01,17276737.33267986,29965243.33637583,36606561.613155484,17276737.33267986,0.04215525341012914
2018-01-01,23053982.612311393,32476129.949497793,38253375.22912933,23053982.612311393,0.05729662119163561
2018-02-01,30268061.73519465,28000733.52167849,35214812.644561745,30268061.73519465,0.07799091708569612
2018-03-01,36391152.40983417,37320269.073963314,43443359.74860284,36391152.40983417,0.0952624236493212
2018-04-01,41573966.214113966,21312274.94141983,26495088.745699625,41573966.214113966,0.114532883014474
2018-05-01,46533467.63085358,28676310.4575355,33635811.87427512,46533467.63085358,0.13235464391600732
2018-06-01,52548682.40281653,22971364.25567307,28986579.027636018,52548682.40281653,0.15344695573271652
2018-07-01,57085035.92280109,16493461.436298838,21029814.956283405,57085035.92280109,0.17381279401545913
2018-08-01,62104915.54337684,25691439.829888094,30711319.450463843,62104915.54337684,0.19260420734824213
2018-09-01,67704369.41782598,8887623.350129519,14487077.22457866,67704369.41782598,0.21755909062925702
2018-10-01,71275434.40193734,23681044.02117602,27252109.005287375,71275434.40193734,0.23823063227174712
2018-11-01,75355390.04151545,15645067.142464984,19725022.782043103,75355390.04151545,0.2588456348208263
2018-12-01,78423322.73782738,22196766.51538928,25264699.2117012,78423322.73782738,0.27676949040190774
2019-01-01,79904563.84634961,26009150.46346248,27490391.571984716,79904563.84634961,0.2885834122798499
2019-02-01,79466702.23032972,23880627.880318392,23442766.264298502,79466702.23032972,0.2913371799155487
2019-03-01,76201219.68994918,37101600.905636646,33836118.36525611,76201219.68994918,0.27958955645738814
2019-04-01,76359109.95982924,18526416.967515633,18684307.23739569,76359109.95982924,0.28306221375552104
2019-05-01,76901130.2767725,30869208.437402774,31411228.75434603,76901130.2767725,0.2827728033920276
2019-06-01,76693755.13093263,-9544236.615114091,-9751611.760953961,76693755.13093263,0.3203071382635773
2019-07-01,75763162.56052233,-27189046.534810368,-28119639.105220664,75763162.56052233,0.3870292263620601
2019-08-01,74682527.53863588,-28547738.048875544,-29628373.070761997,74682527.53863588,0.5277302344711114
2019-09-01,74361415.7688429,-33336366.834540736,-33657478.60433371,74361415.7688429,0.7489127581401068
2019-10-01,72332006.23282993,-30039236.291660745,-32068645.827673722,72332006.23282993,1.5871953522636397
2019-11-01,70444048.22757675,-36720846.23,-38608804.23525318,70444048.22757675,
2019-12-01,68837880.59025949,-17090841.75,-18697009.387317255,68837880.59025949,
2020-01-01,66352477.45104158,-9072298.9,-11557702.039217914,66352477.45104158,
2020-02-01,64618997.8837884,-8112234.3100000005,-9845713.87725318,64618997.8837884,
2020-03-01,62120321.14266336,-6028026.350000001,-8526703.091125041,62120321.14266336,
2020-04-01,59726671.002651505,-4015141.3200000003,-6408791.460011855,59726671.002651505,
2020-05-01,56977883.130038194,0.0,-2748787.872613311,56977883.130038194,
2020-06-01,54378187.96490734,0.0,-2599695.1651308537,54378187.96490734,
2020-07-01,51124030.66347011,0.0,-3254157.301437229,51124030.66347011,
2020-08-01,48007751.5396728,0.0,-3116279.1237973124,48007751.5396728,
2020-09-01,45408489.030115806,0.0,-2599262.509556994,45408489.030115806,
2020-10-01,42282728.69608024,0.0,-3125760.334035568,42282728.69608024,
2020-11-01,39392075.53011787,0.0,-2890653.1659623682,39392075.53011787,
2020-12-01,36558670.52464217,0.0,-2833405.0054757,36558670.52464217,
2021-01-01,33934418.01167985,0.0,-2624252.512962319,33934418.01167985,
2021-02-01,31431181.444208503,0.0,-2503236.5674713477,31431181.444208503,
2021-03-01,28107836.861492287,0.0,-3323344.5827162154,28107836.861492287,
2021-04-01,25990661.20851206,0.0,-2117175.652980227,25990661.20851206,
2021-05-01,24142943.939029466,0.0,-1847717.269482594,24142943.939029466,
2021-06-01,22334892.965977143,0.0,-1808050.9730523229,22334892.965977143,
2021-07-01,20511847.91514894,0.0,-1823045.0508282036,20511847.91514894,
2021-08-01,18864067.522454556,0.0,-1647780.3926943839,18864067.522454556,
2021-09-01,17609815.809922926,0.0,-1254251.71253163,17609815.809922926,
2021-10-01,16309146.187409142,0.0,-1300669.622513784,16309146.187409142,
2021-11-01,15084358.829842165,0.0,-1224787.357566977,15084358.829842165,
2021-12-01,13947773.826814223,0.0,-1136585.003027942,13947773.826814223,
2022-01-01,13053848.225534756,0.0,-893925.6012794673,13053848.225534756,
2022-02-01,12242939.025111506,0.0,-810909.20042325,12242939.025111506,
2022-03-01,11282969.039521586,0.0,-959969.9855899196,11282969.039521586,
2022-04-01,10482949.015986502,0.0,-800020.023535084,10482949.015986502,
2022-05-01,9546677.553087486,0.0,-936271.4628990162,9546677.553087486,
2022-06-01,8663971.955559894,0.0,-882705.5975275915,8663971.955559894,
2022-07-01,7789281.11637354,0.0,-874690.8391863545,7789281.11637354,
2022-08-01,6953600.209406545,0.0,-835680.9069669945,6953600.209406545,
2022-09-01,6038906.337754304,0.0,-914693.8716522418,6038906.337754304,
2022-10-01,5284591.4969013175,0.0,-754314.8408529861,5284591.4969013175,
