month_date,grade,dpd_bucket,balance,count,gco_amount,recovery_amount,nco_amount
2012-04-01,B,90+,401476.25,45,0.0,0.0,0.0
2012-04-01,B,120+,185342.5,18,0.0,0.0,0.0
2012-04-01,B,150+,267920.0,29,0.0,0.0,0.0
2012-04-01,B,180+,199091.25,29,0.0,0.0,0.0
2012-04-01,B,GCO,3547135.0,408,3015064.75,512561.01,2502503.74
2012-05-01,B,Current,136159080.73,15552,0.0,0.0,0.0
2012-05-01,B,30+,203596.25,28,0.0,0.0,0.0
2012-05-01,B,60+,370047.5,40,0.0,0.0,0.0
2012-05-01,B,90+,280181.25,30,0.0,0.0,0.0
2012-05-01,B,120+,307976.25,38,0.0,0.0,0.0
2012-05-01,B,150+,200302.5,20,0.0,0.0,0.0
2012-05-01,B,180+,259675.0,30,0.0,0.0,0.0
2012-05-01,B,GCO,3729311.25,433,3169914.56,538885.48,2631029.09
2012-06-01,B,Current,144187618.7,16618,0.0,0.0,0.0
2012-06-01,B,30+,479272.5,50,0.0,0.0,0.0
2012-06-01,B,60+,251727.5,30,0.0,0.0,0.0
2012-06-01,B,90+,382882.5,44,0.0,0.0,0.0
2012-06-01,B,120+,204148.75,21,0.0,0.0,0.0
2012-06-01,B,150+,356426.25,45,0.0,0.0,0.0
2012-06-01,B,180+,244842.5,24,0.0,0.0,0.0
2012-06-01,B,GCO,4029446.25,467,3425029.31,582254.98,2842774.33
2012-07-01,B,Current,158619812.47,18084,0.0,0.0,0.0
2012-07-01,B,30+,612871.25,58,0.0,0.0,0.0
2012-07-01,B,60+,448608.75,50,0.0,0.0,0.0
2012-07-01,B,90+,189550.0,25,0.0,0.0,0.0
2012-07-01,B,120+,381628.75,42,0.0,0.0,0.0
2012-07-01,B,150+,208696.25,25,0.0,0.0,0.0
2012-07-01,B,180+,411676.25,46,0.0,0.0,0.0
2012-07-01,B,GCO,4189288.75,483,3560895.44,605352.22,2955543.21
2012-08-01,B,Current,173251388.24,19772,0.0,0.0,0.0
2012-08-01,B,30+,473450.0,47,0.0,0.0,0.0
2012-08-01,B,60+,570477.5,59,0.0,0.0,0.0
2012-08-01,B,90+,379418.75,40,0.0,0.0,0.0
2012-08-01,B,120+,364225.0,39,0.0,0.0,0.0
2012-08-01,B,150+,293292.5,32,0.0,0.0,0.0
2012-08-01,B,180+,293845.0,34,0.0,0.0,0.0
2012-08-01,B,GCO,4638365.0,537,3942610.25,670243.74,3272366.51
2012-09-01,B,Current,191682898.18,21796,0.0,0.0,0.0
2012-09-01,B,30+,655583.75,70,0.0,0.0,0.0
2012-09-01,B,60+,511020.0,51,0.0,0.0,0.0
2012-09-01,B,90+,557408.75,58,0.0,0.0,0.0
2012-09-01,B,120+,291847.5,30,0.0,0.0,0.0
2012-09-01,B,150+,468350.0,50,0.0,0.0,0.0
2012-09-01,B,180+,241910.0,29,0.0,0.0,0.0
2012-09-01,B,GCO,5013810.0,578,4261738.5,724495.54,3537242.95
2012-10-01,B,Current,211043722.36,23886,0.0,0.0,0.0
2012-10-01,B,30+,776517.5,82,0.0,0.0,0.0
2012-10-01,B,60+,620308.75,65,0.0,0.0,0.0
2012-10-01,B,90+,544722.5,55,0.0,0.0,0.0
2012-10-01,B,120+,532801.25,56,0.0,0.0,0.0
2012-10-01,B,150+,289977.5,30,0.0,0.0,0.0
