vintage_year,mob,cum_defaults,cohort_size,cum_default_rate,cum_default_amount,cohort_funded,cum_loss_rate
2012,14,3503,53367,0.06563981486686529,48398875.0,717942625.0,0.06741329086011574
2012,15,3765,53367,0.0705492158075215,52428300.0,717942625.0,0.07302575188372469
2012,16,4021,53367,0.07534618771900238,56173125.0,717942625.0,0.07824180240029627
2012,17,4312,53367,0.08079899563400604,60643650.0,717942625.0,0.08446865792374425
2012,18,4598,53367,0.08615811269136357,64676975.0,717942625.0,0.0900865511363112
2012,19,4856,53367,0.0909925609459029,68370600.0,717942625.0,0.09523128676194703
2012,20,5122,53367,0.095976914572676,72167800.0,717942625.0,0.10052028879048656
2012,21,5376,53367,0.10073641014109844,75800750.0,717942625.0,0.10558051209175663
2012,22,5650,53367,0.1058706691401053,79821275.0,717942625.0,0.11118057658158965
2012,23,5866,53367,0.1099181141904173,82970125.0,717942625.0,0.11556651201758636
2012,24,6105,53367,0.1143965371859014,86183075.0,717942625.0,0.12004173035414913
2012,25,6343,53367,0.11885622200985628,89691400.0,717942625.0,0.12492836736083193
2012,26,6537,53367,0.12249142728652539,92580000.0,717942625.0,0.12895180864905464
2012,27,6751,53367,0.12650139599377894,95811300.0,717942625.0,0.13345258613109925
2012,28,6942,53367,0.13008038675586037,98591850.0,717942625.0,0.1373255279278062
2012,29,7124,53367,0.1334907339741788,101379250.0,717942625.0,0.14120801087691373
2012,30,7314,53367,0.13705098656473103,104084175.0,717942625.0,0.1449756169582493
2012,31,7467,53367,0.13991792680870202,106271625.0,717942625.0,0.14802244817265167
2012,32,7608,53367,0.14256000899432233,108290825.0,717942625.0,0.15083492918393027
2012,33,7751,53367,0.1452395675230011,110357600.0,717942625.0,0.1537136759361516
2012,34,7879,53367,0.14763805347874154,112386875.0,717942625.0,0.15654019010223832
2012,35,7988,53367,0.14968051417542677,114159700.0,717942625.0,0.1590095030226127
2012,36,8099,53367,0.15176045121517043,115763200.0,717942625.0,0.1612429684057274
2012,37,8141,53367,0.15254745441939777,116553800.0,717942625.0,0.16234417060834075
2012,38,8199,53367,0.15363426836809263,117691100.0,717942625.0,0.16392828048063032
2012,39,8231,53367,0.15423388985702774,118372325.0,717942625.0,0.16487713764035114
2012,40,8267,53367,0.15490846403207975,119093350.0,717942625.0,0.16588143098482278
2012,41,8289,53367,0.15532070380572263,119531900.0,717942625.0,0.16649227366880467
2012,42,8323,53367,0.1559578016377162,120244150.0,717942625.0,0.1674843445881208
2012,43,8343,53367,0.15633256506830062,120641350.0,717942625.0,0.1680375921404583
2012,44,8369,53367,0.1568197575280604,121276375.0,717942625.0,0.1689220987540613
2012,45,8398,53367,0.15736316450240787,121945200.0,717942625.0,0.1698536843386336
2012,46,8426,53367,0.15788783330522607,122579975.0,717942625.0,0.1707378427349957
2012,47,8451,53367,0.15835628759345663,123148050.0,717942625.0,0.17152909677148645
2012,48,8468,53367,0.1586748365094534,123519800.0,717942625.0,0.17204689580870058
2012,49,8493,53367,0.15914329079768397,124012450.0,717942625.0,0.17273309270361265
2012,50,8517,53367,0.1595930069143853,124471525.0,717942625.0,0.17337252402307218
2012,51,8534,53367,0.15991155583038208,124845800.0,717942625.0,0.17389384005441938
2012,52,8546,53367,0.16013641388873273,125098725.0,717942625.0,0.1742461314370351
2012,53,8564,53367,0.16047370097625874,125487325.0,717942625.0,0.17478740031628573
2012,54,8582,53367,0.16081098806378474,125859600.0,717942625.0,0.17530593060970576
2012,55,8593,53367,0.16101710795060617,126078575.0,717942625.0,0.17561093409100761
2012,56,8607,53367,0.1612794423520153,126354025.0,717942625.0,0.17599459984702817
2012,57,8615,53367,0.16142934772424908,126501050.0,717942625.0,0.17619938640639982
2012,58,8623,53367,0.16157925309648286,126684300.0,717942625.0,0.17645462964397746
2012,59,8626,53367,0.1616354676110705,126770250.0,717942625.0,0.17657434673139794
2012,60,8638,53367,0.16186032566942118,126991975.0,717942625.0,0.17688318060234967
2013,1,169,134804,0.0012536719978635648,2447025.0,1982607275.0,0.0012342459501970707
2013,2,441,134804,0.003271416278448711,6093850.0,1982607275.0,0.0030736546147294855
2013,3,798,134804,0.005919705646716715,10803175.0,1982607275.0,0.005448973750991608
2013,4,1209,134804,0.008968576600100888,17088250.0,1982607275.0,0.008619079640974282
2013,5,1684,134804,0.012492210913622742,24496000.0,1982607275.0,0.012355447449873803
2013,6,2224,134804,0.01649802676478443,32265650.0,1982607275.0,0.01627435267027354
2013,7,2830,134804,0.0209934423310881,41259425.0,1982607275.0,0.020810689802396694
2013,8,3485,134804,0.02585234859499718,50969275.0,1982607275.0,0.025708205373149353
2013,9,4192,134804,0.03109700008901813,61892500.0,1982607275.0,0.03121773070261734
2013,10,4881,134804,0.036208124388000355,72274550.0,1982607275.0,0.036454294761931606
2013,11,5640,134804,0.041838521112133174,83657200.0,1982607275.0,0.04219554777937552
2013,12,6358,134804,0.047164772558677785,94648450.0,1982607275.0,0.04773938398869237
2013,13,7093,134804,0.05261713302275897,105685100.0,1982607275.0,0.05330611933722477
2013,14,7774,134804,0.05766891190172398,115713700.0,1982607275.0,0.05836440804949634
2013,15,8467,134804,0.06280970891071481,126347550.0,1982607275.0,0.06372797658578147
2013,16,9132,134804,0.06774279694964541,136403925.0,1982607275.0,0.06880027462826696
2013,17,9806,134804,0.07274264858609537,146447200.0,1982607275.0,0.07386596520987748
2013,18,10506,134804,0.07793537283760126,157199125.0,1982607275.0,0.07928908916164448
2013,19,11130,134804,0.08256431559894366,166886275.0,1982607275.0,0.08417515516278937
2013,20,11799,134804,0.08752707634788286,177114975.0,1982607275.0,0.08933437157896033
2013,21,12433,134804,0.09223020088424676,186799600.0,1982607275.0,0.09421916400463122
2013,22,13056,134804,0.096851725468087,196209125.0,1982607275.0,0.09896519975192768
2013,23,13683,134804,0.10150292276193584,205820050.0,1982607275.0,0.10381281890534776
2013,24,14277,134804,0.1059093201982137,214527700.0,1982607275.0,0.10820483849984865
2013,25,14844,134804,0.11011542684193347,223011025.0,1982607275.0,0.11248371163169468
2013,26,15325,134804,0.11368357022046824,230353875.0,1982607275.0,0.11618734476801514
2013,27,15837,134804,0.11748167710156969,238490800.0,1982607275.0,0.12029149847641914
2013,28,16277,134804,0.12074567520251625,244997600.0,1982607275.0,0.12357343942460819
2013,29,16737,134804,0.12415803685350583,251980725.0,1982607275.0,0.1270956321896882
2013,30,17201,134804,0.127600071214504,259309175.0,1982607275.0,0.13079200216290945
2013,31,17612,134804,0.1306489421678882,265630225.0,1982607275.0,0.133980253350982
2013,32,17979,134804,0.13337141331117772,271160075.0,1982607275.0,0.13676943407765918
2013,33,18309,134804,0.13581941188688762,276664600.0,1982607275.0,0.13954584122062197
2013,34,18624,134804,0.13815613780006528,282118900.0,1982607275.0,0.14229691556034466
2013,35,18880,134804,0.140055191240616,286622725.0,1982607275.0,0.14456858330654518
2013,36,19159,134804,0.14212486276371622,291147650.0,1982607275.0,0.14685089360423131
2013,37,19349,134804,0.14353431648912496,294999725.0,1982607275.0,0.14879382756224377
2013,38,19493,134804,0.14460253404943474,297978850.0,1982607275.0,0.15029645747668308
2013,39,19634,134804,0.14564849707723806,300965900.0,1982607275.0,0.15180308465275857
2013,40,19760,134804,0.14658318744250912,303604425.0,1982607275.0,0.15313392058444858
2013,41,19868,134804,0.14738435061274147,305889750.0,1982607275.0,0.15428660726567747
2013,42,19949,134804,0.14798522299041572,307502150.0,1982607275.0,0.15509987977825815
2013,43,20064,134804,0.1488383134031631,309943100.0,1982607275.0,0.15633106158152274
2013,44,20161,134804,0.14955787662087178,311923975.0,1982607275.0,0.1573301878456993
2013,45,20264,134804,0.15032194890359338,314017875.0,1982607275.0,0.15838632237440972
2013,46,20343,134804,0.1509079849262633,315853550.0,1982607275.0,0.1593122117440026
2013,47,20428,134804,0.15153853001394618,317557750.0,1982607275.0,0.16017178692134074
2013,48,20501,134804,0.1520800569716032,318978800.0,1982607275.0,0.16088854511037745
2013,49,20573,134804,0.1526141657517581,320563900.0,1982607275.0,0.1616880478762492
2013,50,20621,134804,0.15297023827186138,321556850.0,1982607275.0,0.1621888782789824
2013,51,20689,134804,0.15347467434200765,322928825.0,1982607275.0,0.1628808837090543
2013,52,20736,134804,0.15382332868460877,323891825.0,1982607275.0,0.16336660774131376
2013,53,20786,134804,0.15419423755971634,324918600.0,1982607275.0,0.1638844990115352
2013,54,20825,134804,0.15448354648230023,325780900.0,1982607275.0,0.16431943134073287
2013,55,20863,134804,0.15476543722738198,326558575.0,1982607275.0,0.16471167997706454
2013,56,20894,134804,0.15499540072994866,327210650.0,1982607275.0,0.16504057769080868
2013,57,20934,134804,0.1552921278300347,328007300.0,1982607275.0,0.16544239705768254
2013,58,20959,134804,0.1554775822675885,328483450.0,1982607275.0,0.1656825606069664
2013,59,20981,134804,0.15564078217263583,328915300.0,1982607275.0,0.16590037984199366
2013,60,21003,134804,0.15580398207768315,329397425.0,1982607275.0,0.16614355709957737
2014,1,269,223103,0.0012057211243237428,3739450.0,3253489500.0,0.0011493659346372563
2014,2,731,223103,0.0032765135385897995,10389500.0,3253489500.0,0.0031933405655681386
2014,3,1371,223103,0.006145143722854466,19914425.0,3253489500.0,0.0061209433747980435
2014,4,2176,223103,0.009753342626499868,31613825.0,3253489500.0,0.009716897810796685
2014,5,3107,223103,0.013926303097672376,45886625.0,3253489500.0,0.014103818377160892
2014,6,4248,223103,0.019040532848056728,62335500.0,3253489500.0,0.01915958234996609
2014,7,5403,223103,0.02421751388372187,79533975.0,3253489500.0,0.024445745099223464
2014,8,6636,223103,0.029744109223094266,98370475.0,3253489500.0,0.03023537497201082
2014,9,7960,223103,0.03567858791679179,118243625.0,3253489500.0,0.03634363196807612
2014,10,9317,223103,0.04176098035436547,139182425.0,3253489500.0,0.04277942959397902
2014,11,10802,223103,0.04841709882879208,161693650.0,3253489500.0,0.04969853137684938
2014,12,12262,223103,0.05496116143664585,183991025.0,3253489500.0,0.05655190373289971
2014,13,13659,223103,0.06122284326073607,205012450.0,3253489500.0,0.06301309716844022
2014,14,15044,223103,0.06743073826887133,226420500.0,3253489500.0,0.0695931245513471
2014,15,16389,223103,0.07345934389049004,246673500.0,3253489500.0,0.07581813311522904
2014,16,17756,223103,0.07958655867469286,267170325.0,3253489500.0,0.08211808429072846
2014,17,19105,223103,0.08563309323496322,287969700.0,3253489500.0,0.08851102792862862
2014,18,20378,223103,0.09133897796085216,307517575.0,3253489500.0,0.09451930765413566
2014,19,21692,223103,0.09722863430792056,327689800.0,3253489500.0,0.10071948902862603
2014,20,22973,223103,0.1029703769111128,347099100.0,3253489500.0,0.10668517602408122
2014,21,24233,223103,0.10861799258638387,366891650.0,3253489500.0,0.1127686596191566
2014,22,25510,223103,0.11434180625092447,386023300.0,3253489500.0,0.11864900747336053
2014,23,26758,223103,0.11993563511024057,404792300.0,3253489500.0,0.12441789039122456
2014,24,28022,223103,0.1256011797241633,423872250.0,3253489500.0,0.1302823476147687
2014,25,29194,223103,0.13085435874909795,441835350.0,3253489500.0,0.13580352725896302
2014,26,30254,223103,0.1356055274917863,458019025.0,3253489500.0,0.1407777787510917
2014,27,31295,223103,0.1402715337758793,474214250.0,3253489500.0,0.1457555802777295
2014,28,32278,223103,0.1446775704495233,489396275.0,3253489500.0,0.15042196232691085
2014,29,33213,223103,0.14886845985934746,504425975.0,3253489500.0,0.1550415254144819
2014,30,34063,223103,0.15267835932282398,517510200.0,3253489500.0,0.15906312284087593
2014,31,34867,223103,0.15628207599180646,529634150.0,3253489500.0,0.16278956793928487
2014,32,35631,223103,0.1597065032742724,541800775.0,3253489500.0,0.1665291297236398
2014,33,36324,223103,0.16281269189567152,552935550.0,3253489500.0,0.16995153972373356
