month_date,grade,ftr
2013-11-01,G,0.01766492631
2013-12-01,A,0.0009552491472745
2013-12-01,B,0.0024368005740386
2013-12-01,C,0.0039856088209882
2013-12-01,D,0.0060780751314577
2013-12-01,E,0.0110663927044976
2013-12-01,F,0.0193444358200108
2013-12-01,G,0.0175626312680845
2014-01-01,A,0.0007962164512174
2014-01-01,B,0.0027787135071597
2014-01-01,C,0.0043521686941898
2014-01-01,D,0.0062837502191503
2014-01-01,E,0.0102239552795773
2014-01-01,F,0.0183729691683867
2014-01-01,G,0.0141275842383372
2014-02-01,A,0.0006179939329667
2014-02-01,B,0.0020200750739878
2014-02-01,C,0.0030751791894243
2014-02-01,D,0.0041224542031887
2014-02-01,E,0.0075566628624404
2014-02-01,F,0.0117935419691914
2014-02-01,G,0.0059933641807062
2014-03-01,A,0.0011338236366008
2014-03-01,B,0.0024429907520144
2014-03-01,C,0.0044346474933733
2014-03-01,D,0.0054257054789225
2014-03-01,E,0.0067593508175785
2014-03-01,F,0.0085676847323033
2014-03-01,G,0.0096873281621481
2014-04-01,A,0.001010792546877
2014-04-01,B,0.0023338192155635
2014-04-01,C,0.0046407371978273
2014-04-01,D,0.0074986584279999
2014-04-01,E,0.0108304183440726
2014-04-01,F,0.01426058865
2014-04-01,G,0.0126683662073635
2014-05-01,A,0.0007682644956711
2014-05-01,B,0.0024715002303104
2014-05-01,C,0.00476968743
2014-05-01,D,0.0068791753055591
2014-05-01,E,0.007887570000651
2014-05-01,F,0.0136704443005928
2014-05-01,G,0.0120563491143752
2014-06-01,A,0.0008243994427212
2014-06-01,B,0.0026201669799797
2014-06-01,C,0.0049590610765458
2014-06-01,D,0.0090377464551757
2014-06-01,E,0.0127332714955336
2014-06-01,F,0.016190930675716
2014-06-01,G,0.0191360846590248
2014-07-01,A,0.0010195828554551
2014-07-01,B,0.0024745406668735
2014-07-01,C,0.004360342998
2014-07-01,D,0.0076969954862534
2014-07-01,E,0.0114452084786531
2014-07-01,F,0.0126006126846252
2014-07-01,G,0.0106301407610145
2014-08-01,A,0.0009857797693247
2014-08-01,B,0.00327819672
2014-08-01,C,0.004060204310712
2014-08-01,D,0.0060085092445695
2014-08-01,E,0.0084423008341058
2014-08-01,F,0.0095846665011619
2014-08-01,G,0.0114053403332468
2014-09-01,A,0.0011365802376692
2014-09-01,B,0.0032713980856274
2014-09-01,C,0.0048417486776902
2014-09-01,D,0.0081486149415889
2014-09-01,E,0.0126080390291564
2014-09-01,F,0.0153964371086353
2014-09-01,G,0.0177498087826199
2014-10-01,A,0.0009488995058836
2014-10-01,B,0.0030064643109071
2014-10-01,C,0.005481534928777
2014-10-01,D,0.0089257470353683
2014-10-01,E,0.0129699690857752
2014-10-01,F,0.0140409419421742
2014-10-01,G,0.0182598620513227
2014-11-01,A,0.000637179677321
2014-11-01,B,0.0029110590980338
2014-11-01,C,0.0050260111403141
2014-11-01,D,0.0085174559302266
2014-11-01,E,0.013090544956
2014-11-01,F,0.0138292385190943
2014-11-01,G,0.0212723822820185
2014-12-01,A,0.0011520914730253
2014-12-01,B,0.002644258765
2014-12-01,C,0.0051021930248559
2014-12-01,D,0.0076963477183721
2014-12-01,E,0.0117092429993044
2014-12-01,F,0.0149688409482392
2014-12-01,G,0.0241164335954427
2015-01-01,A,0.0009810419491347
2015-01-01,B,0.0032993816997977
2015-01-01,C,0.0054412152262152
2015-01-01,D,0.0096405683660694
2015-01-01,E,0.0157845491260838
2015-01-01,F,0.0193409017715469
2015-01-01,G,0.0252366809509632
2015-02-01,A,0.0006590884429083
2015-02-01,B,0.0024361624499349
2015-02-01,C,0.0038885317447254
2015-02-01,D,0.0061554774160734
2015-02-01,E,0.0083853441134421
2015-02-01,F,0.0125372512140224
2015-02-01,G,0.0162160366931443
2015-03-01,A,0.0009168783191332
2015-03-01,B,0.0027961949031618
2015-03-01,C,0.0052426152907345
2015-03-01,D,0.0074247798915061
2015-03-01,E,0.0097586376872747
2015-03-01,F,0.0111855556695233
2015-03-01,G,0.0094575445443676
2015-04-01,A,0.0010349024559481
2015-04-01,B,0.0030038543113273
2015-04-01,C,0.0051092043683569
2015-04-01,D,0.0081645323402016
2015-04-01,E,0.0107102315375208
2015-04-01,F,0.0156490773861333
2015-04-01,G,0.0153482338286201
2015-05-01,A,0.0010373215816811
2015-05-01,B,0.002996458310793
2015-05-01,C,0.0060330579829426
2015-05-01,D,0.0097432933592776
2015-05-01,E,0.0137863763856166
2015-05-01,F,0.02119556067
2015-05-01,G,0.0186370527000455
2015-06-01,A,0.0014500782590439
2015-06-01,B,0.0030335325159723
2015-06-01,C,0.0061567914930693
2015-06-01,D,0.0113863446809999
2015-06-01,E,0.0173279333802556
2015-06-01,F,0.023273261912524
2015-06-01,G,0.031429965679
2015-07-01,A,0.0012787753525979
2015-07-01,B,0.0030308292665579
2015-07-01,C,0.0059978746620067
2015-07-01,D,0.0107312328029389
2015-07-01,E,0.013905565275
2015-07-01,F,0.0212210556806367
2015-07-01,G,0.0244487114775511
2015-08-01,A,0.0011747838412173
2015-08-01,B,0.00350947557
2015-08-01,C,0.006067804899
2015-08-01,D,0.009653161316205
2015-08-01,E,0.0141120946629551
2015-08-01,F,0.0186714079210428
2015-08-01,G,0.0205790047210264
2015-09-01,A,0.0013369381355283
2015-09-01,B,0.003809486504288
2015-09-01,C,0.0064092770889173
2015-09-01,D,0.0116157046572387
2015-09-01,E,0.016818168891
2015-09-01,F,0.023416978564
2015-09-01,G,0.0311413530426993
2015-10-01,A,0.001244130874422
2015-10-01,B,0.003797060544
2015-10-01,C,0.006852848222701
2015-10-01,D,0.0105874739487475
2015-10-01,E,0.0154189253663935
2015-10-01,F,0.0264836317803629
2015-10-01,G,0.0303344751710393
2015-11-01,A,0.0010309753763995
2015-11-01,B,0.0033032076478656
2015-11-01,C,0.006154491219434
2015-11-01,D,0.0109604089160032
2015-11-01,E,0.018276238776
2015-11-01,F,0.028363943097
2015-11-01,G,0.034309726444
2015-12-01,A,0.000853492555962
2015-12-01,B,0.0030922172477576
2015-12-01,C,0.0060997702520577
2015-12-01,D,0.010763030356437
2015-12-01,E,0.0173395175705877
2015-12-01,F,0.0250946830763184
2015-12-01,G,0.022227021987712
2016-01-01,A,0.0013544987601974
2016-01-01,B,0.0032459353066412
2016-01-01,C,0.0069144334198169
2016-01-01,D,0.0125426516635373
2016-01-01,E,0.01941411231219
2016-01-01,F,0.0268625054038388
2016-01-01,G,0.0272505851280656
2016-02-01,A,0.000860164377678
2016-02-01,B,0.0027215142469332
2016-02-01,C,0.0056637048669926
2016-02-01,D,0.0100135931211069
2016-02-01,E,0.0135121089639627
2016-02-01,F,0.0152610633485492
2016-02-01,G,0.0165959016149064
2016-03-01,A,0.0008860380251686
2016-03-01,B,0.0031857552348871
2016-03-01,C,0.0072946909965147
2016-03-01,D,0.0118804031119504
2016-03-01,E,0.0172695342841177
2016-03-01,F,0.0161768274729612
2016-03-01,G,0.0104403489957471
2016-04-01,A,0.0010567105883308
2016-04-01,B,0.0030389395847083
2016-04-01,C,0.005962870158997
2016-04-01,D,0.0097613985098095
2016-04-01,E,0.0128318809685081
2016-04-01,F,0.0126211717657619
2016-04-01,G,0.0089862863716359
2016-05-01,A,0.0013395776964374
2016-05-01,B,0.00390931248
2016-05-01,C,0.0063949536339621
2016-05-01,D,0.0114993274093201
2016-05-01,E,0.0147736569321394
2016-05-01,F,0.0143750316538972
2016-05-01,G,0.0091585632684047
2016-06-01,A,0.0018819654799939
2016-06-01,B,0.0041906550143833
2016-06-01,C,0.0087176619048573
2016-06-01,D,0.0146432358071344
2016-06-01,E,0.0234426301853746
2016-06-01,F,0.0319896405483876
2016-06-01,G,0.044399207223
2016-07-01,A,0.0016590637306289
2016-07-01,B,0.00418907769
2016-07-01,C,0.008726677335
2016-07-01,D,0.0145874934385636
2016-07-01,E,0.0188903990098734
2016-07-01,F,0.0190435858820314
2016-07-01,G,0.0249972338577401
2016-08-01,A,0.001740733678
2016-08-01,B,0.0051030738010434
2016-08-01,C,0.0095271571728678
2016-08-01,D,0.0149492609601197
2016-08-01,E,0.020631480729063
2016-08-01,F,0.018940570778035
2016-08-01,G,0.0199118442366601
2016-09-01,A,0.0019835128318858
2016-09-01,B,0.0052050010337108
2016-09-01,C,0.010051727581
2016-09-01,D,0.0162818652478454
2016-09-01,E,0.0236381287942977
2016-09-01,F,0.0334198518451526
2016-09-01,G,0.033540152685499
2016-10-01,A,0.0017820702959026
2016-10-01,B,0.0048838175467355
2016-10-01,C,0.0099595385512263
2016-10-01,D,0.0153255184397684
2016-10-01,E,0.0193500312628319
2016-10-01,F,0.0239401746806988
2016-10-01,G,0.0207009630510593
2016-11-01,A,0.0022724878868054
2016-11-01,B,0.005762537430076
2016-11-01,C,0.00981006922436
2016-11-01,D,0.0160491254960363
2016-11-01,E,0.025527839599
2016-11-01,F,0.03229
2016-11-01,G,0.035685067056
2016-12-01,A,0.002429291475
2016-12-01,B,0.0053436516586837
2016-12-01,C,0.0104051765141635
2016-12-01,D,0.0170455001721808
2016-12-01,E,0.0226090694633301
2016-12-01,F,0.0278685412098677
2016-12-01,G,0.0297542682482249
2017-01-01,A,0.0026287113024345
2017-01-01,B,0.0059677595106337
2017-01-01,C,0.0106385886026049
2017-01-01,D,0.017703949137652
2017-01-01,E,0.0205945871285108
2017-01-01,F,0.0285388093114092
2017-01-01,G,0.0263274349602728
2017-02-01,A,0.0018349111726458
2017-02-01,B,0.004952382686385
2017-02-01,C,0.0088380959461379
2017-02-01,D,0.0154213302127429
2017-02-01,E,0.0191275575505925
2017-02-01,F,0.0222939764204967
2017-02-01,G,0.0220345397019672
2017-03-01,A,0.0020276754442659
2017-03-01,B,0.0056086853130602
2017-03-01,C,0.0093034503698536
2017-03-01,D,0.0134120118935334
2017-03-01,E,0.0165374777005769
2017-03-01,F,0.0155973844303798
2017-03-01,G,0.0138736144352937
2017-04-01,A,0.0020558217145074
2017-04-01,B,0.0064119047069226
2017-04-01,C,0.0113195406774526
2017-04-01,D,0.01759416552
2017-04-01,E,0.022098474608
2017-04-01,F,0.029923466118
2017-04-01,G,0.030242
2017-05-01,A,0.0025070693771287
2017-05-01,B,0.0060524723493804
2017-05-01,C,0.0122279067323042
2017-05-01,D,0.0160057991414272
2017-05-01,E,0.0166610575517189
2017-05-01,F,0.017220182011913
2017-05-01,G,0.0167873733440442
2017-06-01,A,0.0028073141548783
2017-06-01,B,0.0069592219481954
2017-06-01,C,0.0137639794840677
2017-06-01,D,0.019371296088
2017-06-01,E,0.024457
2017-06-01,F,0.033901946155
2017-06-01,G,0.041371
2017-07-01,A,0.0020741972159148
2017-07-01,B,0.0058527930578311
2017-07-01,C,0.0112706078239048
2017-07-01,D,0.0156658729574782
2017-07-01,E,0.020720063851011
2017-07-01,F,0.0238990863969792
2017-07-01,G,0.02127321781555
2017-08-01,A,0.003091672605262
2017-08-01,B,0.0070987162550833
2017-08-01,C,0.0134906057629279
2017-08-01,D,0.0156631295850763
2017-08-01,E,0.0173426492937107
2017-08-01,F,0.0159836557149662
2017-08-01,G,0.01067507271243
2017-09-01,A,0.0041737636082815
2017-09-01,B,0.0084734705670373
2017-09-01,C,0.0146671328742251
2017-09-01,D,0.020554749519
2017-09-01,E,0.021544825201514
2017-09-01,F,0.0249137118719999
2017-09-01,G,0.025920466191
2017-10-01,A,0.0029850829104772
2017-10-01,B,0.007873051759765
2017-10-01,C,0.0135732731893661
2017-10-01,D,0.0185004335392233
2017-10-01,E,0.0193259164078766
2017-10-01,F,0.0171241104057675
2017-10-01,G,0.0382510320581818
2017-11-01,A,0.003358725270282
2017-11-01,B,0.0085313043090036
2017-11-01,C,0.014975336352
2017-11-01,D,0.0199676872522996
2017-11-01,E,0.0208287434
2017-11-01,F,0.018093
2017-11-01,G,0.031533
2017-12-01,A,0.0039018008110425
2017-12-01,B,0.0081881541903183
2017-12-01,C,0.015040752047942
2017-12-01,D,0.0188495933629751
2017-12-01,E,0.0170252512700378
2017-12-01,F,0.0159706228530949
2017-12-01,G,0.0542104835401013
2018-01-01,A,0.003822173510518
2018-01-01,B,0.0103003632065842
2018-01-01,C,0.0153900108082421
2018-01-01,D,0.0198549008562971
2018-01-01,E,0.017130101387326
2018-01-01,F,0.0120448926973595
2018-01-01,G,0.0388609586079388
2018-02-01,A,0.0027956703482874
2018-02-01,B,0.0085277263438268
